Trajectories
100
,,Patient T:T10,,,Patient T:SACR,,,Patient T:NAVE,,,Patient T:XYPH,,,Patient T:STRN,,,Patient T:LASIS,,,Patient T:RASIS,,,Patient T:LPSIS,,,Patient T:RPSIS,,,Patient T:LGTRO,,,Patient T:FLTHI,,,Patient T:LLEK,,,Patient T:LATI,,,Patient T:LLM,,,Patient T:LHEE,,,Patient T:LTOE,,,Patient T:LMT5,,,Patient T:RGTRO,,,Patient T:FRTHI,,,Patient T:RLEK,,,Patient T:RATI,,,Patient T:RLM,,,Patient T:RHEE,,,Patient T:RTOE,,,Patient T:RMT5,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10,0,25.9416,-65.1562,1259.09,11.2886,-49.8691,1167.22,63.6135,-365.187,1056.93,67.4369,-393.078,1232.74,65.8084,-406.496,1329.76,229.749,-239.783,1088.32,-112.437,-244.777,1049.32,114.977,-38.108,1145.43,-65.436,-48.9016,1113.05,223.419,-222.093,1048.79,255.005,-277.638,804.198,237.84,-304.495,547.95,232.883,-292.353,369.894,177.125,-249.086,80.1303,127.663,-168.615,28.2288,128.452,-464.799,24.8228,203.634,-430.818,34.6995,-98.5051,-228.255,984.567,-146.146,-47.2858,351.156,-202.561,157.051,210.86,-174.837,216.49,141.329,-207.558,239.227,106.952,-139.577,302.705,128.506,-120.571,72.4083,21.0185,-204.079,98.2321,46.7444
11,0,28.3887,-67.5705,1259.94,12.9815,-50.8134,1169.48,65.6846,-365.842,1059.21,68.0411,-395.241,1235.16,66.6567,-407.714,1332.18,231.227,-240.796,1090.7,-110.494,-245.887,1051.9,116.205,-39.2239,1147.74,-64.1153,-49.8996,1115.77,225.516,-222.555,1050.31,256.368,-274.569,804.451,235.539,-298.761,548.437,233.087,-286.211,370.407,177.221,-243.376,80.043,127.574,-162.794,28.1266,128.603,-459.515,24.5803,203.629,-425.014,34.7551,-96.9268,-229.485,986.872,-144.923,-49.8246,352.589,-201.448,154.879,214.011,-174.494,216.372,146.49,-207.702,240.148,113.292,-139.72,303.355,136.416,-120.398,76.9732,21.1259,-203.668,101.247,47.864
12,0,30.6988,-69.1057,1261.58,14.4474,-51.4672,1171.87,67.6416,-366.268,1060.89,68.8864,-397.03,1237.44,67.4718,-408.954,1334.33,232.358,-240.886,1092.93,-108.993,-246.411,1054.58,119.023,-39.9304,1148.77,-62.8572,-50.5488,1118.55,227.473,-222.346,1052.08,257.718,-271.72,804.747,233.834,-293.261,549.171,233.846,-280.631,370.837,177.104,-237.373,80.2663,127.602,-156.504,28.0828,128.446,-454.793,24.7918,204.034,-419.539,34.8132,-95.0294,-229.246,990.007,-143.905,-52.9289,354.608,-201.061,152.562,217.072,-174.228,216.109,151.934,-207.755,240.715,119.563,-139.864,303.275,144.879,-120.212,81.6101,21.2097,-203.388,104.441,49.4558
13,0,32.0606,-69.8663,1263.96,15.4167,-51.9285,1175.48,69.286,-366.682,1062.72,69.8862,-399.078,1239.58,67.9387,-409.653,1336.59,233.736,-241.211,1094.95,-107.335,-246.272,1057.53,120.725,-40.8654,1150.97,-61.1148,-50.7268,1121.21,229.352,-222.332,1053.26,259.38,-268.666,804.795,233.183,-288.675,549.958,235.002,-274.249,370.993,177.214,-231.99,80.333,127.691,-150.718,28.0503,127.956,-446.755,24.9961,204.134,-413.569,34.909,-93.5598,-229.302,992.929,-143.058,-56.0984,356.896,-200.507,150.266,220.544,-174.716,215.141,157.304,-207.861,240.766,126.237,-140.04,302.712,153.514,-120.145,85.8288,21.4832,-203.264,107.28,50.5028
14,0,33.6925,-69.8632,1266.73,17.3893,-51.9453,1178.37,70.6616,-366.242,1064.35,70.6709,-400.588,1241.84,68.576,-410.577,1338.49,235.013,-241.423,1096.61,-105.644,-246.487,1060.15,122.583,-41.2055,1153.25,-59.2997,-50.7749,1124.02,231.387,-222.209,1054.13,261.103,-265.786,805.04,232.995,-284.23,550.633,236.399,-268.537,371.464,176.934,-226.879,80.567,127.652,-145.001,28.0773,126.358,-437.428,25.7179,204.06,-407.681,35.0904,-92.2055,-229.131,995.849,-143.122,-59.1619,359.549,-200.623,147.206,223.678,-175.144,213.967,162.914,-208.343,240.463,132.585,-140.827,301.362,162.29,-120.284,90.253,21.5093,-203.775,110.735,52.2223
15,0,35.9283,-70.0628,1269.79,19.5157,-52.1766,1180.88,71.8499,-365.933,1066.06,71.5908,-401.83,1243.91,69.1023,-411.171,1340.45,236.721,-241.795,1097.88,-104.562,-245.757,1063.01,123.284,-40.0959,1157.21,-56.9702,-50.5226,1127.02,233.345,-222.061,1054.97,263.062,-262.071,804.772,234.093,-279.355,551.349,237.731,-263.03,372.274,177.202,-220.744,80.5941,127.908,-138.997,27.9626,126.553,-431.567,25.8772,204.209,-401.887,35.1857,-90.7473,-228.718,998.827,-142.697,-63.0563,362.291,-201.031,142.991,226.21,-174.922,211.884,168.493,-207.801,240.545,139.508,-140.805,299.535,172.311,-120.276,94.8839,21.4762,-203.85,113.782,52.666
16,0,37.5629,-70.017,1272.75,21.8971,-51.9617,1183.65,73.182,-365.675,1067.58,72.5293,-402.416,1245.68,69.4009,-411.316,1342.04,238.379,-241.769,1099.12,-102.877,-245.449,1065.67,125.979,-41.5008,1158.89,-54.8466,-49.9158,1129.73,235.337,-221.767,1055.79,265.16,-258.956,805.026,235.05,-274.677,551.483,238.334,-259.583,372.366,177.615,-214.548,80.5516,128.004,-133.081,28.0449,126.952,-425.806,26.0543,204.708,-396.211,35.0705,-89.5424,-228.04,1002.02,-143.608,-67.3601,365.584,-201.229,137.902,228.441,-174.917,208.999,173.472,-207.415,239.161,146.311,-140.368,295.828,182.074,-120.469,98.9258,21.5564,-203.68,115.381,53.3246
17,0,39.8666,-69.9376,1275.61,24.9466,-51.7808,1185.76,74.0926,-364.673,1069.3,73.7192,-402.658,1247.58,69.8136,-411.646,1343.55,240.264,-241.87,1100.25,-102.066,-244.643,1068.78,128.42,-41.9174,1160.98,-52.8552,-49.1813,1132.73,237.229,-221.325,1056.41,267.38,-255.545,804.637,236.529,-269.297,551.655,240.288,-254.277,372.644,177.65,-209.175,80.5717,126.082,-127.876,26.9489,127.147,-420.058,26.1528,204.428,-388.055,35.5902,-88.0579,-227.126,1005.36,-144.347,-72.3149,368.864,-201.969,132.109,230.597,-176.054,206.774,180.111,-206.842,236.903,153.281,-139.878,291.306,192.176,-120.44,102.788,21.7047,-204.441,118.741,54.4637
18,0,42.2961,-69.5192,1278.19,28.3851,-51.5049,1187.74,75.1883,-363.966,1071.12,74.5901,-402.501,1249.13,69.9597,-411.441,1345.12,241.936,-241.83,1101.19,-101.158,-243.5,1071.76,130.661,-41.5951,1163.58,-50.5005,-48.1944,1136.25,238.996,-220.868,1056.96,269.419,-251.522,804.382,237.916,-263.881,551.521,242.137,-248.371,372.704,177.918,-202.722,80.3682,126.391,-121.842,27.2373,127.249,-413.867,26.4086,204.611,-381.988,35.7535,-86.6927,-226.248,1008.81,-145.135,-78.0766,372.047,-202.54,125.298,232.168,-176.268,202.667,185.406,-206.634,235.5,160.802,-138.163,285.837,203.228,-120.744,106.734,22.1486,-204.136,121.125,55.1155
19,0,44.9128,-69.2265,1280.61,29.7184,-50.593,1191.54,76.1707,-362.967,1072.59,75.1407,-402.204,1250.85,70.2458,-411.404,1346.35,243.675,-241.653,1102.23,-100.025,-242.568,1074.38,132.989,-41.772,1165.65,-48.0773,-47.2331,1139.15,241.021,-220.214,1057.51,271.428,-247.264,804.253,239.531,-258.804,551.354,244.103,-241.681,372.913,178.297,-196.774,80.4626,126.739,-115.889,27.2025,127.338,-407.672,26.4973,204.668,-376.119,35.8265,-85.3718,-224.822,1012.42,-146.525,-83.434,375.706,-203.141,117.867,233.26,-175.424,196.959,190.776,-205.975,230.128,169.25,-137.228,278.659,213.724,-120.501,110.431,22.3563,-204.453,124.449,56.625
